"","X","clicks_yn","AdvertiserId","UserId"
"3238475",3238475,2,12671106,202656
"1001604",1001604,2,12489066,1550410
"6871622",6871622,2,12692946,388410
"4459046",4459046,2,12692946,368167
"472115",472115,2,12671106,1478850
"1427922",1427922,2,12310026,1530097
"4378746",4378746,2,12671106,1874256
"3615276",3615276,2,12671106,981388
"2631275",2631275,2,12489066,13103
"5091399",5091399,2,12671106,1247561
"6380288",6380288,2,12692946,351435
"5323513",5323513,2,12310026,1738721
"5944833",5944833,2,12671106,1117294
"1148258",1148258,2,12489066,1091205
"5952127",5952127,2,12671106,44586
"1263446",1263446,2,12310026,587054
"961685",961685,2,12489066,738725
"2830053",2830053,2,12692946,1465965
"6084303",6084303,2,12671106,120720
"5943553",5943553,2,12578706,1537668
"5090905",5090905,2,12489066,1748030
"1997684",1997684,2,12671106,1153544
"6895939",6895939,2,12310026,233029
"3981934",3981934,2,12671106,151051
"3060533",3060533,2,12671106,1008928
"2767476",2767476,2,12578706,771009
"3795041",3795041,2,12310026,1514349
"1794378",1794378,2,12489066,623723
"3957344",3957344,2,12671106,809110
"4196593",4196593,2,12310026,614710
"6883401",6883401,2,12310026,1300113
"4158516",4158516,2,12489066,1584646
"6335723",6335723,2,12489066,1328263
"2373864",2373864,2,12671106,1535157
"819318",819318,2,12671106,1435840
"6896393",6896393,2,12671106,352408
"1420231",1420231,2,12692946,160615
"3938499",3938499,2,12671106,493249
"5504217",5504217,2,12692946,1143765
"1924479",1924479,2,12671106,1144136
"3404046",3404046,2,12671106,461905
"6214940",6214940,2,12671106,1717168
"4422740",4422740,2,12310026,1441053
"3901938",3901938,2,12671106,716599
"6728422",6728422,2,12692946,479657
"1975935",1975935,2,12671106,867016
"261696",261696,2,12671106,1007823
"5649389",5649389,2,12310026,1695341
"287542",287542,2,12671106,1451121
"1241527",1241527,2,12671106,153486
"3787861",3787861,2,12489066,1031954
"1611936",1611936,2,12692946,39697
"300429",300429,2,12671106,615985
