"","X","clicks_yn","AdvertiserId","UserId"
"1805937",1805937,1,1,1
"1816882",1816882,1,2,2
"1826664",1826664,1,2,3
"1801813",1801813,1,3,4
"1813219",1813219,1,2,5
"1807879",1807879,1,3,6
"1812555",1812555,1,3,7
"1809523",1809523,1,2,8
"1813126",1813126,1,1,9
"1828860",1828860,1,4,10
"1827994",1827994,1,2,11
"1807016",1807016,1,2,12
"1807046",1807046,1,1,13
"1797956",1797956,1,3,14
"1824530",1824530,1,2,15
"1816707",1816707,1,2,16
"1829296",1829296,1,4,17
"1814595",1814595,1,1,18
"1799656",1799656,1,3,19
"1820138",1820138,1,2,20
"1815936",1815936,1,2,21
"1809636",1809636,1,1,22
"1805291",1805291,1,3,23
"1826855",1826855,1,2,24
"1805418",1805418,1,3,25
"1806567",1806567,1,5,26
"1801995",1801995,1,2,27
"1807813",1807813,1,5,28
"1808464",1808464,1,3,29
"1800455",1800455,1,2,30
"1806107",1806107,1,1,31
"1802908",1802908,1,3,32
"1810205",1810205,1,3,33
"1809270",1809270,1,5,34
"1798859",1798859,1,2,35
"1818752",1818752,1,2,36
"1808741",1808741,1,3,37
"1810883",1810883,1,1,38
"1800252",1800252,1,3,39
"1799405",1799405,1,3,40
"1805607",1805607,1,2,41
"1827465",1827465,1,2,42
"1826997",1826997,1,2,43
"1821053",1821053,1,2,44
"1818824",1818824,1,1,45
"1825122",1825122,1,3,46
"1808716",1808716,1,4,47
"1827763",1827763,1,2,48
"1808595",1808595,1,2,49
"1821410",1821410,1,2,50
"1828268",1828268,1,5,51
"1826710",1826710,1,5,52
"1829834",1829834,1,1,53
"1821792",1821792,1,1,54
"1803402",1803402,1,5,55
"1819785",1819785,1,2,56
"1797714",1797714,1,3,57
"1810058",1810058,1,2,58
"1802647",1802647,1,3,59
"1819482",1819482,1,2,60
"1811674",1811674,1,2,61
"1810976",1810976,1,2,62
"1818133",1818133,1,2,63
"1829802",1829802,1,2,64
"1806313",1806313,1,2,65
"1823581",1823581,1,2,66
"1819480",1819480,1,4,67
"1804890",1804890,1,2,68
"1796657",1796657,1,2,69
"1822131",1822131,1,1,70
"1802874",1802874,1,3,71
"1817172",1817172,1,2,72
"1797545",1797545,1,2,73
"1814652",1814652,1,1,74
"1808269",1808269,1,2,75
"1820896",1820896,1,1,76
"1800770",1800770,1,3,77
"1823825",1823825,1,2,78
"1819681",1819681,1,1,79
"1807457",1807457,1,2,80
"1822246",1822246,1,2,81
"1825957",1825957,1,5,82
"1822258",1822258,1,2,83
"1805287",1805287,1,3,84
"1820148",1820148,1,4,85
"1804853",1804853,1,1,86
"1814573",1814573,1,5,87
"1810651",1810651,1,2,88
"1812614",1812614,1,2,89
"1824541",1824541,1,3,90
"1811091",1811091,1,2,91
"1811648",1811648,1,1,92
"1821617",1821617,1,3,93
"1809913",1809913,1,2,94
"1810265",1810265,1,2,95
"1798754",1798754,1,3,96
"1816806",1816806,1,4,97
"1815846",1815846,1,2,98
"1797219",1797219,1,5,99
"1802418",1802418,1,3,100
"1802809",1802809,1,3,101
"1822998",1822998,1,2,102
"1802202",1802202,1,2,103
"1820229",1820229,1,2,104
"1816059",1816059,1,2,105
"1812409",1812409,1,3,106
"1816007",1816007,1,2,107
"1820760",1820760,1,2,108
"1814039",1814039,1,1,109
"1829744",1829744,1,2,110
"1813499",1813499,1,2,111
"1827292",1827292,1,3,112
"1797350",1797350,1,2,113
"1805527",1805527,1,3,114
"1822313",1822313,1,2,115
"1829308",1829308,1,2,116
"1820962",1820962,1,2,117
"1806574",1806574,1,2,118
"1803220",1803220,1,2,119
"1818063",1818063,1,2,120
"1801382",1801382,1,2,121
"1823860",1823860,1,2,122
"1808794",1808794,1,2,123
"1820669",1820669,1,2,124
"1800972",1800972,1,2,125
"1800203",1800203,1,2,126
"1796478",1796478,1,5,127
"1816381",1816381,1,1,128
"1816825",1816825,1,4,129
"1800368",1800368,1,2,130
"1825351",1825351,1,2,131
"1824800",1824800,1,2,132
"1809307",1809307,1,5,133
"1824005",1824005,1,2,134
"1804189",1804189,1,3,135
"1829220",1829220,1,2,136
"1820009",1820009,1,1,137
"1822073",1822073,1,1,138
"1809242",1809242,1,2,139
"1807611",1807611,1,3,140
"1812275",1812275,1,1,141
"1810292",1810292,1,2,142
"1830327",1830327,1,2,143
"1821864",1821864,1,2,144
"1818673",1818673,1,2,145
"1797357",1797357,1,4,146
"1827125",1827125,1,2,147
"1806638",1806638,1,1,148
"1821207",1821207,1,2,149
"1800370",1800370,1,3,150
"1812767",1812767,1,2,151
"1829423",1829423,1,2,152
"1817398",1817398,1,3,153
"1811905",1811905,1,2,154
"1815312",1815312,1,1,155
"1799351",1799351,1,2,156
"1813418",1813418,1,1,157
"1798235",1798235,1,2,158
"1818718",1818718,1,2,159
"1809894",1809894,1,1,160
"1808992",1808992,1,2,161
"1817682",1817682,1,2,162
"1801773",1801773,1,3,163
"1820873",1820873,1,2,164
"1808928",1808928,1,2,165
"1799089",1799089,1,4,166
"1801157",1801157,1,4,167
"1799909",1799909,1,2,168
"1797523",1797523,1,5,169
"1830424",1830424,1,2,170
"1818267",1818267,1,2,171
"1811922",1811922,1,2,172
"1821360",1821360,1,2,173
"1804252",1804252,1,3,174
"1809937",1809937,1,5,175
"1816206",1816206,1,1,176
"1815546",1815546,1,1,177
"1815974",1815974,1,1,178
"1812063",1812063,1,2,179
"1805502",1805502,1,3,180
"1800840",1800840,1,3,181
"1809166",1809166,1,1,182
"1796617",1796617,1,1,183
"1798737",1798737,1,3,184
"1822316",1822316,1,2,185
"1810069",1810069,1,1,186
"1807337",1807337,1,1,187
"1805742",1805742,1,5,188
"1828536",1828536,1,2,189
"1829869",1829869,1,2,190
"1815874",1815874,1,5,191
"1815084",1815084,1,3,192
"1799675",1799675,1,2,193
"1815781",1815781,1,2,194
"1815435",1815435,1,2,195
"1801317",1801317,1,1,196
"1821254",1821254,1,1,197
"1824997",1824997,1,2,198
"1829163",1829163,1,1,199
"1814854",1814854,1,3,200
"1815356",1815356,1,2,201
"1818072",1818072,1,1,202
