"","userID","itemID","rating","age","time","daytype","season","weather","social","endEmo","dominantEmo","mood","Count"
"1",23,14,5,33,3,2,2,1,1,2,2,2,7
"2",21,5,3,28,2,2,2,1,2,2,2,2,143
"3",21,6,4,28,4,2,2,1,2,2,2,1,143
"4",22,13,4,28,3,2,3,2,3,2,3,1,1
"5",21,7,3,28,4,2,2,1,2,1,7,1,143
"6",20,12,5,30,3,1,3,1,7,1,1,3,5
"7",21,15,3,28,3,1,2,5,1,7,5,1,143
"8",15,11,4,30,3,1,3,1,2,2,2,1,168
"9",23,18,4,33,2,2,2,2,1,2,7,2,7
"10",26,17,5,28,4,1,3,1,2,2,2,2,101
"11",26,18,4,28,4,1,3,2,2,2,2,2,101
"12",26,16,1,28,3,1,3,1,2,7,7,2,101
"13",27,19,2,25,2,1,2,1,2,7,7,2,34
"14",28,19,2,26,2,1,2,1,2,7,7,2,37
"15",29,20,3,30,4,1,3,5,1,7,7,1,1
"16",30,21,4,29,4,1,3,1,3,4,1,3,2
"17",30,22,1,29,4,1,2,2,3,7,7,1,2
"18",31,3,3,30,2,1,2,2,1,7,7,3,154
"19",31,9,4,30,4,2,2,2,1,1,2,1,154
"20",33,5,3,26,2,2,2,1,2,7,7,1,86
"21",33,6,4,26,3,2,2,1,2,2,2,1,86
"22",34,4,4,26,3,1,2,3,5,4,7,1,1
"23",35,23,1,30,3,1,3,1,1,6,6,2,95
"24",35,24,3,30,4,1,3,1,1,2,4,1,95
"25",35,25,4,30,3,2,2,1,5,2,2,1,95
"26",27,18,4,25,3,3,2,2,7,7,2,1,34
"27",27,26,5,25,4,3,2,2,7,2,4,1,34
"28",31,27,4,30,2,2,2,1,1,2,2,1,154
"29",31,28,3,30,2,2,2,2,1,2,2,1,154
"30",23,31,4,33,2,2,2,2,1,4,2,2,7
"31",21,29,4,28,2,2,2,2,1,2,4,2,143
"32",23,32,3,33,3,2,2,1,1,5,7,2,7
"33",21,30,4,28,3,2,2,5,1,1,6,1,143
"34",28,33,2,26,2,2,2,2,2,7,7,2,37
"35",26,34,3,28,4,2,3,2,2,7,7,2,101
"36",28,35,4,26,3,2,2,1,2,7,2,2,37
"37",35,30,4,30,3,2,3,2,1,1,3,2,95
"38",35,36,3,30,4,2,3,2,1,4,3,2,95
"39",33,37,5,26,3,1,2,2,6,2,2,2,86
"40",21,38,5,28,2,2,2,2,3,2,2,2,143
"41",37,39,4,26,4,2,3,2,1,4,2,3,16
"42",38,30,3,25,3,2,2,3,1,7,6,2,1
"43",27,33,3,25,2,2,2,2,2,7,7,2,34
"44",27,40,4,25,3,2,2,2,2,2,2,1,34
"45",27,41,4,25,1,3,2,1,1,2,4,1,34
"46",39,1,3,30,3,1,3,5,1,2,7,1,5
"47",39,2,3,30,4,1,3,5,1,2,2,1,5
"48",39,16,4,30,2,1,3,2,1,2,4,1,5
"49",39,42,4,30,3,1,3,2,1,7,4,1,5
"50",40,16,1,28,3,1,3,5,6,7,7,1,1
"51",21,43,3,28,3,1,2,1,1,2,2,2,143
"52",21,45,5,28,4,1,2,1,1,1,2,2,143
"53",31,44,5,30,3,2,2,1,1,2,2,1,154
"54",20,29,4,30,3,2,3,2,7,7,7,1,5
"55",31,46,3,30,2,2,2,1,1,2,2,1,154
"56",25,9,4,27,4,1,2,2,1,1,1,1,94
"57",25,47,5,27,2,2,2,1,2,4,3,3,94
"58",25,48,2,27,2,2,2,5,2,7,5,2,94
"59",41,49,4,27,3,1,2,1,2,7,7,1,6
"60",42,17,4,28,3,1,3,5,2,2,2,3,36
"61",42,50,3,28,4,2,3,5,2,7,2,2,36
"62",42,51,4,28,4,1,3,5,1,2,5,3,36
"63",42,52,1,28,3,2,2,1,2,7,7,1,36
"64",42,53,4,28,3,1,2,1,2,2,4,1,36
"65",42,54,5,28,3,2,2,1,2,1,4,2,36
"66",42,55,3,28,2,1,2,1,2,2,2,1,36
"67",42,39,4,28,4,2,2,1,2,7,4,2,36
"68",42,58,3,28,3,3,2,1,2,2,7,1,36
"69",42,57,5,28,3,3,2,1,2,2,2,1,36
"70",42,56,1,28,4,1,2,1,2,7,6,1,36
"71",42,34,5,28,3,1,2,2,2,2,2,2,36
"72",42,63,4,28,3,3,2,1,2,1,2,2,36
"73",42,18,4,28,3,2,2,1,2,2,2,1,36
"74",42,62,3,28,3,3,2,1,2,7,7,1,36
"75",42,61,1,28,4,1,2,2,2,5,6,2,36
"76",25,59,2,27,4,1,2,1,1,2,2,3,94
"77",25,60,3,27,4,1,2,1,2,1,4,3,94
"78",21,64,3,28,3,1,3,1,2,2,7,1,143
"79",33,64,3,26,3,1,3,1,2,7,2,2,86
"80",35,65,3,30,3,1,3,1,1,2,7,1,95
"81",41,66,2,27,2,1,3,1,2,4,4,1,6
"82",43,67,4,25,4,1,3,5,3,7,2,1,28
"83",27,38,4,25,1,2,3,2,1,4,2,1,34
"84",45,68,4,25,4,2,3,2,1,2,2,1,4
"85",33,70,4,26,3,2,3,2,1,1,1,2,86
"86",33,71,2,26,4,2,3,2,1,7,7,2,86
"87",33,72,4,26,1,2,3,2,1,7,7,2,86
"88",33,73,3,26,3,2,3,2,1,7,7,2,86
"89",21,54,4,28,2,2,3,2,1,1,7,3,143
"90",47,75,3,28,3,2,3,2,2,6,6,2,1
"91",35,80,3,30,3,2,3,5,1,2,4,3,95
"92",21,74,5,28,3,2,3,5,1,2,7,2,143
"93",27,69,3,25,4,2,3,5,2,1,7,2,34
"94",28,69,3,26,3,2,3,5,2,7,7,2,37
"95",31,76,5,30,2,2,3,2,1,2,2,1,154
"96",31,77,4,30,2,2,3,2,1,2,2,1,154
"97",41,78,5,27,1,2,3,2,1,2,2,1,6
"98",41,79,3,27,3,2,3,2,2,7,7,1,6
"99",37,47,4,26,4,1,3,2,2,2,4,2,16
"100",48,92,3,28,2,2,3,2,3,7,7,3,60
"101",25,66,4,27,2,2,3,2,2,2,4,3,94
"102",49,47,5,28,3,2,2,2,3,2,4,1,9
"103",49,93,3,28,4,2,3,5,2,6,5,3,9
"104",49,51,4,28,4,2,3,5,7,7,7,2,9
"105",49,81,5,28,2,2,3,2,1,4,4,1,9
"106",49,82,5,28,2,2,3,2,7,7,2,2,9
"107",49,83,3,28,3,1,2,1,3,4,4,2,9
"108",49,84,5,28,3,2,3,2,1,1,1,1,9
"109",49,85,4,28,3,2,3,2,2,2,2,1,9
"110",50,86,2,26,3,1,3,5,6,7,7,3,102
"111",50,85,3,26,4,2,3,5,1,7,3,3,102
"112",50,87,2,26,3,2,3,5,1,7,5,2,102
"113",21,88,3,28,3,1,3,5,2,2,2,1,143
"114",157,73,3,27,3,2,3,2,2,2,2,1,34
"115",157,89,4,27,3,2,3,2,2,7,7,2,34
"116",157,90,3,27,3,1,3,2,1,7,7,1,34
"117",157,91,4,27,3,1,3,2,1,1,7,1,34
"118",48,94,4,28,4,1,3,5,3,2,1,2,60
"119",35,66,5,30,4,2,3,2,1,4,4,1,95
"120",21,58,3,28,3,1,3,5,1,1,3,2,143
"121",42,95,4,28,3,1,3,2,2,1,4,1,36
"122",42,96,3,28,3,1,3,2,2,2,2,2,36
"123",50,97,4,26,4,1,3,5,1,1,1,1,102
"124",26,95,4,28,4,1,3,2,2,1,7,2,101
"125",41,98,3,27,3,1,3,2,2,4,4,1,6
"126",52,99,4,28,1,2,3,2,2,2,2,1,1
"127",53,100,5,28,4,1,3,5,2,1,1,2,4
"128",53,101,3,28,3,1,3,5,2,2,6,2,4
"129",53,102,4,28,2,1,3,5,1,2,2,2,4
"130",37,103,3,26,3,2,3,5,2,7,7,3,16
"131",49,104,3,28,3,1,3,5,7,7,7,2,9
"132",53,105,3,28,4,1,3,5,1,7,1,2,4
"133",21,106,4,28,3,1,3,1,2,4,4,1,143
"134",42,65,5,28,3,1,3,2,2,2,2,1,36
"135",33,106,5,26,3,1,3,1,2,4,4,3,86
"136",50,107,1,26,4,2,3,5,5,7,2,2,102
"137",54,108,2,27,4,2,3,2,1,2,4,1,32
"138",54,109,4,27,3,1,3,2,1,2,7,1,32
"139",21,110,4,28,2,2,3,1,7,2,2,1,143
"140",31,110,4,30,2,2,3,1,7,2,2,1,154
"141",27,111,4,25,4,2,3,5,6,2,2,1,34
"142",54,112,3,27,3,2,3,1,1,2,2,1,32
"143",21,113,4,28,3,2,3,1,7,4,7,1,143
"144",31,113,3,30,3,2,3,1,7,6,3,1,154
"145",24,114,3,26,3,2,3,1,1,7,7,2,25
"146",35,114,2,30,3,2,3,1,1,7,7,3,95
"147",55,115,4,28,4,2,3,5,2,6,6,2,275
"148",35,116,3,30,4,2,3,1,1,2,7,3,95
"149",50,117,5,26,4,2,3,5,7,1,1,3,102
"150",50,118,5,26,4,2,3,1,1,2,2,2,102
"151",50,119,2,26,4,3,3,1,7,5,5,1,102
"152",35,120,5,30,3,2,3,1,1,2,2,2,95
"153",56,107,3,28,4,2,3,5,1,7,7,1,6
"154",25,121,2,27,2,2,3,1,1,6,3,2,94
"155",21,122,5,28,2,2,3,5,2,2,7,1,143
"156",21,123,3,28,4,2,3,5,7,2,4,1,143
"157",31,123,4,30,4,2,3,5,7,2,2,1,154
"158",55,124,3,28,1,2,4,5,2,7,4,2,275
"159",21,125,4,28,2,2,3,1,2,2,2,1,143
"160",48,109,4,28,4,2,3,5,3,4,4,1,60
"161",25,126,4,27,3,1,3,5,1,1,1,1,94
"162",25,99,1,27,3,2,3,5,2,6,6,3,94
"163",57,127,2,28,4,2,3,5,3,7,7,2,5
"164",57,38,5,28,4,2,3,5,2,2,2,1,5
"165",57,109,4,28,4,2,3,5,3,7,2,1,5
"166",33,113,3,26,3,2,3,1,3,4,4,2,86
"167",33,122,4,26,2,2,3,1,2,2,2,2,86
"168",33,125,2,26,2,2,3,1,2,7,7,1,86
"169",26,128,5,28,4,2,3,5,2,1,7,2,101
"170",42,128,5,28,3,2,3,5,2,2,2,3,36
"171",42,99,2,28,3,1,3,5,1,7,7,1,36
"172",48,127,3,28,3,1,3,5,3,7,4,1,60
"173",25,102,3,27,3,1,3,1,2,1,1,1,94
"174",24,129,4,26,3,1,3,2,1,7,7,2,25
"175",55,130,4,28,4,2,3,5,1,4,4,2,275
"176",28,111,3,26,3,1,3,5,2,7,2,2,37
"177",21,129,4,28,3,1,3,5,2,2,3,1,143
"178",50,131,5,26,3,1,3,5,7,1,2,1,102
"179",48,104,4,28,3,1,3,5,3,7,2,1,60
"180",50,132,4,26,3,1,3,2,1,2,3,2,102
"181",42,133,3,28,4,1,3,2,2,7,4,2,36
"182",56,134,2,28,3,1,3,2,2,5,5,2,6
"183",55,135,4,28,1,1,3,5,1,6,6,2,275
"184",59,136,1,27,3,1,1,5,1,7,7,2,17
"185",41,137,3,27,3,1,3,5,2,7,7,1,6
"186",21,104,3,28,2,1,3,5,1,7,7,1,143
"187",59,138,3,27,3,1,3,5,1,1,3,3,17
"188",21,139,4,28,3,1,3,5,1,2,5,2,143
"189",21,99,5,28,3,2,3,5,1,2,2,1,143
"190",59,179,2,27,4,1,3,1,1,7,7,2,17
"191",25,68,3,27,1,3,3,1,1,2,2,2,94
"192",25,140,3,27,1,2,3,1,1,2,2,1,94
"193",42,141,5,28,4,2,3,5,2,2,4,2,36
"194",42,38,5,28,3,2,3,5,2,4,4,2,36
"195",60,142,4,28,3,2,3,1,1,7,7,1,26
"196",21,66,3,28,2,2,3,5,1,7,2,2,143
"197",50,131,5,26,3,2,3,5,2,1,2,1,102
"198",50,39,3,26,4,2,3,5,2,7,7,1,102
"199",27,143,4,25,4,2,3,1,2,7,2,2,34
"200",48,144,4,28,4,3,3,5,3,7,4,1,60
"201",25,145,4,27,3,2,3,1,2,2,2,1,94
"202",25,83,3,27,1,2,3,1,1,7,7,1,94
"203",42,146,4,28,3,2,3,5,2,2,2,1,36
"204",25,147,4,27,2,2,3,1,1,2,2,1,94
"205",25,155,3,27,2,2,3,1,2,2,4,1,94
"206",25,148,4,27,3,2,3,1,2,4,4,1,94
"207",35,149,5,30,3,2,3,1,1,2,2,1,95
"208",55,150,5,28,2,2,3,1,2,2,4,2,275
"209",55,151,5,28,4,2,3,5,1,1,4,2,275
"210",55,152,5,28,1,2,3,5,2,2,4,2,275
"211",55,156,4,28,4,2,3,1,1,2,1,2,275
"212",55,157,3,28,4,2,3,1,1,2,4,2,275
"213",59,153,3,27,4,2,1,1,1,7,7,1,17
"214",21,154,2,28,2,2,3,5,1,7,7,2,143
"215",21,142,3,28,3,2,3,5,1,7,5,2,143
"216",57,67,3,28,4,2,3,5,3,7,2,1,5
"217",57,54,2,28,4,2,3,5,3,4,4,3,5
"218",61,47,5,28,3,1,3,2,2,2,7,1,83
"219",26,146,3,28,3,2,3,5,2,2,7,2,101
"220",50,158,3,26,4,2,3,1,2,2,2,1,102
"221",35,13,3,30,2,1,3,1,1,5,7,1,95
"222",54,159,4,27,3,1,3,1,2,7,4,1,32
"223",50,159,3,26,3,1,3,1,2,4,2,1,102
"224",35,160,2,30,3,1,3,1,1,5,5,2,95
"225",61,161,5,28,2,1,3,1,1,2,2,1,83
"226",61,3,4,28,2,1,2,1,1,2,2,2,83
"227",21,162,4,28,3,1,3,5,1,2,2,2,143
"228",61,163,2,28,3,1,2,1,1,7,2,1,83
"229",26,141,5,28,3,1,3,5,2,2,7,1,101
"230",26,164,5,28,4,1,4,4,1,2,2,1,101
"231",26,47,3,28,2,2,3,2,1,7,7,2,101
"232",26,63,5,28,3,1,3,2,2,7,2,2,101
"233",26,65,4,28,3,2,3,5,2,2,2,2,101
"234",26,53,4,28,3,2,2,1,2,2,2,2,101
"235",26,77,4,28,4,1,2,2,2,2,2,2,101
"236",26,165,5,28,4,2,3,5,1,7,4,1,101
"237",26,26,4,28,3,2,3,5,2,7,7,2,101
"238",26,38,3,28,3,1,3,5,2,6,7,2,101
"239",27,166,3,25,2,1,3,5,2,7,7,1,34
"240",28,166,3,26,2,1,3,5,2,2,3,1,37
"241",28,143,3,26,3,2,3,5,2,2,2,1,37
"242",35,101,2,30,2,1,3,5,1,5,6,1,95
"243",56,167,4,28,4,1,3,5,1,7,7,2,6
"244",62,47,5,28,3,1,2,1,2,4,4,1,1
"245",63,168,3,30,4,2,3,1,2,2,7,3,4
"246",63,169,3,30,4,1,3,5,2,6,7,2,4
"247",63,83,4,30,3,2,3,1,2,6,2,1,4
"248",27,170,2,25,4,1,3,5,2,7,7,2,34
"249",28,170,2,26,3,1,3,5,2,2,2,1,37
"250",35,42,3,30,4,1,3,5,1,7,2,3,95
"251",43,171,5,25,4,1,3,5,1,7,2,1,28
"252",64,172,5,24,3,3,3,5,1,2,2,1,1
"253",33,173,4,26,2,2,3,2,2,2,2,2,86
"254",31,138,4,30,2,2,3,2,1,3,3,1,154
"255",61,65,4,28,4,2,3,1,2,2,2,1,83
"256",31,174,4,30,2,2,3,2,1,2,2,1,154
"257",31,175,5,30,2,2,3,2,1,2,2,1,154
"258",21,83,5,28,3,2,3,5,1,7,5,1,143
"259",21,176,3,28,2,2,3,2,2,7,2,2,143
"260",21,177,4,28,4,2,3,2,1,2,7,3,143
"261",21,173,3,28,2,2,3,2,2,7,7,2,143
"262",27,178,3,25,2,2,3,5,1,1,2,2,34
"263",31,183,3,30,1,2,3,5,1,4,7,2,154
"264",42,180,5,28,3,2,3,2,2,1,2,1,36
"265",42,181,5,28,3,1,3,5,2,2,2,1,36
"266",42,182,4,28,3,1,3,5,2,2,2,2,36
"267",42,165,5,28,3,1,3,5,2,2,2,2,36
"268",42,78,5,28,3,1,3,5,2,1,2,2,36
"269",33,184,1,26,3,1,3,5,2,7,7,1,86
"270",31,185,4,30,2,1,3,5,4,2,1,1,154
"271",21,184,2,28,3,1,3,5,2,7,7,1,143
"272",33,176,5,26,3,2,3,2,2,2,4,1,86
"273",27,186,5,25,4,1,3,2,1,2,2,1,34
"274",91,187,2,28,3,1,3,2,1,7,1,2,6
"275",43,188,3,25,3,1,3,1,1,7,7,1,28
"276",56,189,4,28,3,1,3,2,2,2,2,1,6
"277",55,190,4,28,4,1,3,2,1,4,4,2,275
"278",55,191,5,28,4,1,3,2,1,7,6,2,275
"279",55,192,4,28,4,1,3,2,1,7,7,2,275
"280",55,193,4,28,1,1,3,2,1,4,4,2,275
"281",55,194,4,28,1,1,3,5,1,4,2,2,275
"282",55,79,4,28,4,1,3,5,1,1,4,2,275
"283",55,195,5,28,4,1,3,5,2,1,4,2,275
"284",50,196,5,26,3,1,3,2,2,2,2,1,102
"285",60,136,3,28,3,1,3,2,2,7,2,2,26
"286",60,86,4,28,2,1,3,2,3,2,2,2,26
"287",48,197,5,28,4,1,3,5,3,2,2,1,60
"288",71,198,3,28,4,1,3,2,1,7,4,1,2
"289",71,199,1,28,3,2,3,2,3,1,5,2,2
"290",72,200,5,34,2,1,3,5,4,1,1,2,2
"291",72,201,5,34,3,1,3,5,2,2,7,2,2
"292",63,202,2,30,4,2,3,5,2,6,6,3,4
"293",73,203,3,27,3,1,3,5,3,2,4,2,2
"294",25,204,4,27,3,1,3,5,2,1,5,3,94
"295",75,205,3,63,3,2,3,5,1,7,7,2,64
"296",75,206,5,63,1,2,3,1,1,2,4,1,64
"297",75,207,5,63,3,2,3,1,1,2,3,1,64
"298",75,208,3,63,3,2,3,5,1,2,5,1,64
"299",75,209,4,63,4,2,3,5,1,2,2,1,64
"300",75,183,5,63,1,2,3,5,1,1,4,1,64
"301",48,68,4,28,4,2,3,1,3,7,2,1,60
"302",27,210,3,25,3,2,3,5,2,7,4,2,34
"303",35,61,2,30,2,2,3,1,1,7,6,1,95
"304",50,38,5,26,2,2,3,1,6,2,2,1,102
"305",54,38,5,27,2,2,3,1,6,2,2,1,32
"306",31,211,4,30,4,2,3,5,1,2,2,1,154
"307",31,212,4,30,2,2,3,5,1,2,6,1,154
"308",61,213,3,28,3,2,3,5,2,7,7,1,83
"309",15,214,3,30,3,2,3,5,2,3,3,2,168
"310",15,215,2,30,2,2,3,2,2,3,3,2,168
"311",15,216,4,30,3,1,3,5,2,2,2,1,168
"312",15,99,5,30,3,1,3,5,2,2,2,2,168
"313",55,217,5,28,3,2,3,1,2,6,6,2,275
"314",55,218,4,28,1,1,3,5,1,7,4,2,275
"315",35,220,5,30,3,1,3,2,1,2,2,2,95
"316",55,219,5,28,1,1,3,5,1,4,4,2,275
"317",21,220,4,28,4,1,3,2,1,2,2,1,143
"318",35,221,3,30,4,1,3,2,1,4,3,1,95
"319",73,222,2,27,3,2,3,2,3,3,6,2,2
"320",55,223,5,28,1,1,3,2,1,1,4,2,275
"321",27,224,3,25,3,1,3,5,2,1,7,2,34
"322",28,224,3,26,3,1,3,1,2,7,7,1,37
"323",35,225,4,30,3,1,3,5,1,2,2,1,95
"324",21,226,5,28,4,1,3,5,1,2,5,1,143
"325",61,124,4,28,3,1,3,5,2,7,2,1,83
"326",20,226,4,30,3,1,3,5,7,7,7,1,5
"327",35,227,2,30,4,1,3,5,1,7,6,2,95
"328",15,228,4,30,3,1,3,5,2,7,4,2,168
"329",15,229,2,30,3,1,3,1,2,6,6,2,168
"330",21,230,5,28,4,1,3,1,1,2,5,1,143
"331",43,231,5,25,3,1,3,5,1,4,7,1,28
