"","userID","itemID","rating","age","time","daytype","season","weather","social","endEmo","dominantEmo","mood","Count"
"1",1,33,5,33,3,2,2,1,1,2,2,2,7
"2",2,34,3,28,2,2,2,1,2,2,2,2,143
"3",2,12,4,28,4,2,2,1,2,2,2,1,143
"4",2,4,3,28,4,2,2,1,2,1,7,1,143
"5",3,5,5,30,3,1,3,1,7,1,1,3,5
"6",2,6,3,28,3,1,2,5,1,7,5,1,143
"7",4,7,4,30,3,1,3,1,2,2,2,1,168
"8",1,738,4,33,2,2,2,2,1,2,7,2,7
"9",5,149,5,28,4,1,3,1,2,2,2,2,101
"10",5,738,4,28,4,1,3,2,2,2,2,2,101
"11",5,10,1,28,3,1,3,1,2,7,7,2,101
"12",6,11,2,25,2,1,2,1,2,7,7,2,34
"13",7,11,2,26,2,1,2,1,2,7,7,2,37
"14",8,12,3,30,2,1,2,2,1,7,7,3,154
"15",8,149,4,30,4,2,2,2,1,1,2,1,154
"16",9,34,3,26,2,2,2,1,2,7,7,1,86
"17",9,12,4,26,3,2,2,1,2,2,2,1,86
"18",10,14,1,30,3,1,3,1,1,6,6,2,95
"19",10,15,3,30,4,1,3,1,1,2,4,1,95
"20",10,16,4,30,3,2,2,1,5,2,2,1,95
"21",6,738,4,25,3,3,2,2,7,7,2,1,34
"22",6,17,5,25,4,3,2,2,7,2,4,1,34
"23",8,18,4,30,2,2,2,1,1,2,2,1,154
"24",8,19,3,30,2,2,2,2,1,2,2,1,154
"25",1,500,4,33,2,2,2,2,1,4,2,2,7
"26",2,21,4,28,2,2,2,2,1,2,4,2,143
"27",1,22,3,33,3,2,2,1,1,5,7,2,7
"28",2,23,4,28,3,2,2,5,1,1,6,1,143
"29",7,24,2,26,2,2,2,2,2,7,7,2,37
"30",5,25,3,28,4,2,3,2,2,7,7,2,101
"31",7,26,4,26,3,2,2,1,2,7,2,2,37
"32",10,23,4,30,3,2,3,2,1,1,3,2,95
"33",10,27,3,30,4,2,3,2,1,4,3,2,95
"34",9,28,5,26,3,1,2,2,6,2,2,2,86
"35",2,29,5,28,2,2,2,2,3,2,2,2,143
"36",11,30,4,26,4,2,3,2,1,4,2,3,16
"37",6,24,3,25,2,2,2,2,2,7,7,2,34
"38",6,31,4,25,3,2,2,2,2,2,2,1,34
"39",6,32,4,25,1,3,2,1,1,2,4,1,34
"40",12,33,3,30,3,1,3,5,1,2,7,1,5
"41",12,34,3,30,4,1,3,5,1,2,2,1,5
"42",12,10,4,30,2,1,3,2,1,2,4,1,5
"43",12,35,4,30,3,1,3,2,1,7,4,1,5
"44",2,36,3,28,3,1,2,1,1,2,2,2,143
"45",2,37,5,28,4,1,2,1,1,1,2,2,143
"46",8,38,5,30,3,2,2,1,1,2,2,1,154
"47",3,21,4,30,3,2,3,2,7,7,7,1,5
"48",8,39,3,30,2,2,2,1,1,2,2,1,154
"49",13,149,4,27,4,1,2,2,1,1,1,1,94
"50",13,40,5,27,2,2,2,1,2,4,3,3,94
"51",13,41,2,27,2,2,2,5,2,7,5,2,94
"52",14,42,4,27,3,1,2,1,2,7,7,1,6
"53",15,149,4,28,3,1,3,5,2,2,2,3,36
"54",15,43,3,28,4,2,3,5,2,7,2,2,36
"55",15,44,4,28,4,1,3,5,1,2,5,3,36
"56",15,45,1,28,3,2,2,1,2,7,7,1,36
"57",15,46,4,28,3,1,2,1,2,2,4,1,36
"58",15,47,5,28,3,2,2,1,2,1,4,2,36
"59",15,48,3,28,2,1,2,1,2,2,2,1,36
"60",15,30,4,28,4,2,2,1,2,7,4,2,36
"61",15,49,3,28,3,3,2,1,2,2,7,1,36
"62",15,50,5,28,3,3,2,1,2,2,2,1,36
"63",15,51,1,28,4,1,2,1,2,7,6,1,36
"64",15,25,5,28,3,1,2,2,2,2,2,2,36
"65",15,52,4,28,3,3,2,1,2,1,2,2,36
"66",15,738,4,28,3,2,2,1,2,2,2,1,36
"67",15,53,3,28,3,3,2,1,2,7,7,1,36
"68",15,54,1,28,4,1,2,2,2,5,6,2,36
"69",13,55,2,27,4,1,2,1,1,2,2,3,94
"70",13,56,3,27,4,1,2,1,2,1,4,3,94
"71",2,57,3,28,3,1,3,1,2,2,7,1,143
"72",9,57,3,26,3,1,3,1,2,7,2,2,86
"73",10,58,3,30,3,1,3,1,1,2,7,1,95
"74",14,59,2,27,2,1,3,1,2,4,4,1,6
"75",16,60,4,25,4,1,3,5,3,7,2,1,28
"76",6,29,4,25,1,2,3,2,1,4,2,1,34
"77",9,61,4,26,3,2,3,2,1,1,1,2,86
"78",9,62,2,26,4,2,3,2,1,7,7,2,86
"79",9,63,4,26,1,2,3,2,1,7,7,2,86
"80",9,64,3,26,3,2,3,2,1,7,7,2,86
"81",2,47,4,28,2,2,3,2,1,1,7,3,143
"82",10,65,3,30,3,2,3,5,1,2,4,3,95
"83",2,66,5,28,3,2,3,5,1,2,7,2,143
"84",6,67,3,25,4,2,3,5,2,1,7,2,34
"85",7,67,3,26,3,2,3,5,2,7,7,2,37
"86",8,129,5,30,2,2,3,2,1,2,2,1,154
"87",8,69,4,30,2,2,3,2,1,2,2,1,154
"88",14,70,5,27,1,2,3,2,1,2,2,1,6
"89",14,71,3,27,3,2,3,2,2,7,7,1,6
"90",11,40,4,26,4,1,3,2,2,2,4,2,16
"91",17,72,3,28,2,2,3,2,3,7,7,3,60
"92",13,59,4,27,2,2,3,2,2,2,4,3,94
"93",18,40,5,28,3,2,2,2,3,2,4,1,9
"94",18,73,3,28,4,2,3,5,2,6,5,3,9
"95",18,44,4,28,4,2,3,5,7,7,7,2,9
"96",18,74,5,28,2,2,3,2,1,4,4,1,9
"97",18,75,5,28,2,2,3,2,7,7,2,2,9
"98",18,76,3,28,3,1,2,1,3,4,4,2,9
"99",18,77,5,28,3,2,3,2,1,1,1,1,9
"100",18,78,4,28,3,2,3,2,2,2,2,1,9
"101",19,79,2,26,3,1,3,5,6,7,7,3,102
"102",19,78,3,26,4,2,3,5,1,7,3,3,102
"103",19,80,2,26,3,2,3,5,1,7,5,2,102
"104",2,81,3,28,3,1,3,5,2,2,2,1,143
"105",20,64,3,27,3,2,3,2,2,2,2,1,34
"106",20,82,4,27,3,2,3,2,2,7,7,2,34
"107",20,83,3,27,3,1,3,2,1,7,7,1,34
"108",20,84,4,27,3,1,3,2,1,1,7,1,34
"109",17,85,4,28,4,1,3,5,3,2,1,2,60
"110",10,59,5,30,4,2,3,2,1,4,4,1,95
"111",2,49,3,28,3,1,3,5,1,1,3,2,143
"112",15,86,4,28,3,1,3,2,2,1,4,1,36
"113",15,87,3,28,3,1,3,2,2,2,2,2,36
"114",19,88,4,26,4,1,3,5,1,1,1,1,102
"115",5,86,4,28,4,1,3,2,2,1,7,2,101
"116",14,89,3,27,3,1,3,2,2,4,4,1,6
"117",11,90,3,26,3,2,3,5,2,7,7,3,16
"118",18,91,3,28,3,1,3,5,7,7,7,2,9
"119",2,92,4,28,3,1,3,1,2,4,4,1,143
"120",15,58,5,28,3,1,3,2,2,2,2,1,36
"121",9,92,5,26,3,1,3,1,2,4,4,3,86
"122",19,93,1,26,4,2,3,5,5,7,2,2,102
