"","userID","itemID","rating","age","time","daytype","season","weather","social","endEmo","dominantEmo","mood","Count"
"1",23,14,5,33,3,2,2,1,1,2,2,2,7
"3",21,6,4,28,4,2,2,1,2,2,2,1,143
"4",22,13,4,28,3,2,3,2,3,2,3,1,1
"8",15,11,4,30,3,1,3,1,2,2,2,1,168
"15",29,20,3,30,4,1,3,5,1,7,7,1,1
"17",30,22,1,29,4,1,2,2,3,7,7,1,2
"19",31,9,4,30,4,2,2,2,1,1,2,1,154
"20",33,5,3,26,2,2,2,1,2,7,7,1,86
"21",33,6,4,26,3,2,2,1,2,2,2,1,86
"23",35,23,1,30,3,1,3,1,1,6,6,2,95
"34",28,33,2,26,2,2,2,2,2,7,7,2,37
"46",39,1,3,30,3,1,3,5,1,2,7,1,5
"54",20,29,4,30,3,2,3,2,7,7,7,1,5
"59",41,49,4,27,3,1,2,1,2,7,7,1,6
"74",42,62,3,28,3,3,2,1,2,7,7,1,36
"77",25,60,3,27,4,1,2,1,2,1,4,3,94
"78",21,64,3,28,3,1,3,1,2,2,7,1,143
"83",27,38,4,25,1,2,3,2,1,4,2,1,34
"95",31,76,5,30,2,2,3,2,1,2,2,1,154
"103",49,93,3,28,4,2,3,5,2,6,5,3,9
"115",157,89,4,27,3,2,3,2,2,7,7,2,34
"116",157,90,3,27,3,1,3,2,1,7,7,1,34
"121",42,95,4,28,3,1,3,2,2,1,4,1,36
"122",42,96,3,28,3,1,3,2,2,2,2,2,36
"126",52,99,4,28,1,2,3,2,2,2,2,1,1
"132",53,105,3,28,4,1,3,5,1,7,1,2,4
"135",33,106,5,26,3,1,3,1,2,4,4,3,86
"140",31,110,4,30,2,2,3,1,7,2,2,1,154
"169",26,128,5,28,4,2,3,5,2,1,7,2,101
"171",42,99,2,28,3,1,3,5,1,7,7,1,36
"172",48,127,3,28,3,1,3,5,3,7,4,1,60
"181",42,133,3,28,4,1,3,2,2,7,4,2,36
"185",41,137,3,27,3,1,3,5,2,7,7,1,6
"188",21,139,4,28,3,1,3,5,1,2,5,2,143
"192",25,140,3,27,1,2,3,1,1,2,2,1,94
"193",42,141,5,28,4,2,3,5,2,2,4,2,36
