"","userID","itemID","rating","age","time","daytype","season","weather","social","endEmo","dominantEmo","mood","Count"
"14",28,19,2,26,2,1,2,1,2,7,7,2,37
"28",31,27,4,30,2,2,2,1,1,2,2,1,154
"41",37,39,4,26,4,2,3,2,1,4,2,3,16
"45",27,41,4,25,1,3,2,1,1,2,4,1,34
"46",39,1,3,30,3,1,3,5,1,2,7,1,5
"57",25,47,5,27,2,2,2,1,2,4,3,3,94
"67",42,39,4,28,4,2,2,1,2,7,4,2,36
"71",42,34,5,28,3,1,2,2,2,2,2,2,36
"80",35,65,3,30,3,1,3,1,1,2,7,1,95
"82",43,67,4,25,4,1,3,5,3,7,2,1,28
"85",33,70,4,26,3,2,3,2,1,1,1,2,86
"86",33,71,2,26,4,2,3,2,1,7,7,2,86
"88",33,73,3,26,3,2,3,2,1,7,7,2,86
"95",31,76,5,30,2,2,3,2,1,2,2,1,154
"99",37,47,4,26,4,1,3,2,2,2,4,2,16
"107",49,83,3,28,3,1,2,1,3,4,4,2,9
"115",157,89,4,27,3,2,3,2,2,7,7,2,34
"116",157,90,3,27,3,1,3,2,1,7,7,1,34
"123",50,97,4,26,4,1,3,5,1,1,1,1,102
"125",41,98,3,27,3,1,3,2,2,4,4,1,6
"131",49,104,3,28,3,1,3,5,7,7,7,2,9
"134",42,65,5,28,3,1,3,2,2,2,2,1,36
"136",50,107,1,26,4,2,3,5,5,7,2,2,102
"139",21,110,4,28,2,2,3,1,7,2,2,1,143
"140",31,110,4,30,2,2,3,1,7,2,2,1,154
"142",54,112,3,27,3,2,3,1,1,2,2,1,32
"153",56,107,3,28,4,2,3,5,1,7,7,1,6
"154",25,121,2,27,2,2,3,1,1,6,3,2,94
"168",33,125,2,26,2,2,3,1,2,7,7,1,86
"173",25,102,3,27,3,1,3,1,2,1,1,1,94
"179",48,104,4,28,3,1,3,5,3,7,2,1,60
"186",21,104,3,28,2,1,3,5,1,7,7,1,143
"198",50,39,3,26,4,2,3,5,2,7,7,1,102
"213",59,153,3,27,4,2,1,1,1,7,7,1,17
"227",21,162,4,28,3,1,3,5,1,2,2,2,143
"230",26,164,5,28,4,1,4,4,1,2,2,1,101
"233",26,65,4,28,3,2,3,5,2,2,2,2,101
"236",26,165,5,28,4,2,3,5,1,7,4,1,101
"238",26,38,3,28,3,1,3,5,2,6,7,2,101
"242",35,101,2,30,2,1,3,5,1,5,6,1,95
"243",56,167,4,28,4,1,3,5,1,7,7,2,6
"248",27,170,2,25,4,1,3,5,2,7,7,2,34
"249",28,170,2,26,3,1,3,5,2,2,2,1,37
"256",31,174,4,30,2,2,3,2,1,2,2,1,154
"258",21,83,5,28,3,2,3,5,1,7,5,1,143
"264",42,180,5,28,3,2,3,2,2,1,2,1,36
"265",42,181,5,28,3,1,3,5,2,2,2,1,36
"269",33,184,1,26,3,1,3,5,2,7,7,1,86
"272",33,176,5,26,3,2,3,2,2,2,4,1,86
"280",55,193,4,28,1,1,3,2,1,4,4,2,275
"281",55,194,4,28,1,1,3,5,1,4,2,2,275
"297",75,207,5,63,3,2,3,1,1,2,3,1,64
"301",48,68,4,28,4,2,3,1,3,7,2,1,60
"307",31,212,4,30,2,2,3,5,1,2,6,1,154
"309",15,214,3,30,3,2,3,5,2,3,3,2,168
"311",15,216,4,30,3,1,3,5,2,2,2,1,168
"312",15,99,5,30,3,1,3,5,2,2,2,2,168
"314",55,218,4,28,1,1,3,5,1,7,4,2,275
"318",35,221,3,30,4,1,3,2,1,4,3,1,95
"323",35,225,4,30,3,1,3,5,1,2,2,1,95
"325",61,124,4,28,3,1,3,5,2,7,2,1,83
"329",15,229,2,30,3,1,3,1,2,6,6,2,168
"334",79,233,4,29,3,1,3,5,2,4,3,2,6
"335",79,234,5,29,3,1,3,5,2,1,2,2,6
"336",15,235,3,30,3,1,3,1,2,7,7,2,168
"347",35,240,4,30,4,3,3,2,6,4,7,1,95
"349",35,242,4,30,3,3,3,5,1,7,7,2,95
"358",86,249,5,22,3,2,1,1,1,4,7,2,8
"359",86,250,5,22,4,3,2,1,5,7,7,1,8
"361",15,107,5,30,3,2,3,1,2,2,2,2,168
"373",55,3507,5,28,2,1,3,1,1,4,7,2,275
"380",15,74,4,30,3,2,3,2,2,1,6,2,168
"381",31,3513,2,30,2,2,3,1,1,2,2,1,154
"383",15,3514,3,30,3,2,3,2,2,7,7,2,168
"391",35,47,5,30,4,2,3,2,1,2,2,2,95
"392",89,65,2,28,4,2,3,1,3,2,2,1,16
"394",89,52,5,28,4,2,1,1,3,2,2,1,16
"395",89,180,4,28,4,2,3,2,3,2,2,1,16
"396",89,212,2,28,3,1,4,4,3,5,6,1,16
"397",20,230,4,30,3,1,3,1,7,2,2,1,5
"402",35,3522,4,30,3,1,3,2,1,2,2,2,95
"407",27,3524,3,25,2,1,3,5,6,7,1,2,34
"416",96,138,5,15,3,2,3,2,3,4,7,1,30
"417",96,3528,3,15,3,3,2,1,1,1,6,3,30
"422",96,3531,5,15,3,1,4,1,3,7,7,1,30
"425",96,3533,5,15,2,3,2,1,3,2,2,1,30
