"","userID","itemID","rating","age","time","daytype","season","weather","social","endEmo","dominantEmo","mood","Count"
"1470",61,4066,4,28,3,1,2,1,2,2,2,1,83
"413",96,191,5,15,3,2,4,4,1,2,7,1,30
"2178",15,4326,2,30,2,2,1,1,2,7,7,2,168
"568",55,3622,4,28,3,1,3,5,1,4,4,2,275
"1066",48,180,5,28,4,2,4,2,1,7,7,1,60
"695",55,3692,4,28,2,3,4,5,2,4,4,2,275
"1722",125,4163,5,23,4,3,4,1,1,2,1,1,65
"1034",143,3649,5,24,3,2,3,3,2,7,7,2,10
"1677",15,4036,1,30,3,1,3,5,2,7,7,2,168
"187",59,138,3,27,3,1,3,5,1,1,3,3,17
"1989",61,4278,5,28,3,2,4,1,2,2,2,1,83
"621",33,3654,2,26,3,1,3,5,1,7,7,1,86
"1435",31,2835,3,30,3,2,2,3,1,7,7,1,154
"1904",202,3376,5,28,4,3,4,1,1,2,1,3,26
"962",21,209,4,28,3,2,4,5,1,2,2,3,143
"1093",55,3880,5,28,2,2,1,1,1,7,2,2,275
"1935",55,3515,3,28,3,2,4,1,1,7,7,2,275
"2039",61,2903,5,28,3,2,1,1,2,2,2,1,83
"639",26,115,5,28,3,1,2,1,2,7,4,2,101
"1817",50,3772,4,26,4,1,4,5,2,4,1,2,102
"1252",25,3748,2,27,2,2,1,1,1,1,5,1,94
"933",50,3810,5,26,3,2,4,4,1,2,2,1,102
"821",55,3759,3,28,2,1,4,5,1,1,1,2,275
"2083",55,4081,4,28,4,2,1,5,1,4,7,2,275
"1496",21,4078,2,28,3,2,3,1,2,7,7,1,143
"383",15,3514,3,30,3,2,3,2,2,7,7,2,168
"18",31,3,3,30,2,1,2,2,1,7,7,3,154
"1891",15,4236,5,30,3,3,4,1,2,2,2,1,168
"1044",141,3864,4,23,4,1,3,3,3,7,4,2,6
"1637",26,4033,4,28,3,1,3,5,2,7,7,3,101
"1759",202,4180,4,28,4,3,4,1,3,7,4,2,26
"819",127,3726,5,31,4,1,4,2,1,4,4,3,31
"799",122,18,2,18,2,2,2,1,1,7,7,1,4
"1880",21,4229,5,28,3,3,4,5,1,2,4,1,143
"2107",257,3098,4,18,2,2,3,5,5,2,2,2,6
"2195",59,4330,2,27,3,1,1,2,1,7,7,2,17
"1971",21,3899,4,28,3,1,4,5,1,2,4,1,143
"738",112,3610,4,33,4,2,4,5,3,2,2,1,7
"824",33,3762,4,26,3,1,4,2,1,2,4,1,86
"2175",15,4288,4,30,2,1,1,2,2,7,7,2,168
"1654",199,3032,5,28,3,2,3,1,1,2,7,2,3
"173",25,102,3,27,3,1,3,1,2,1,1,1,94
"81",41,66,2,27,2,1,3,1,2,4,4,1,6
"1650",196,3689,5,28,3,1,4,5,6,2,4,1,9
"559",54,67,3,27,3,1,4,5,1,7,7,2,32
"893",50,3793,5,26,3,2,4,1,3,1,2,1,102
"1486",125,3713,5,23,4,1,3,1,2,2,4,1,65
"974",55,3833,3,28,2,3,4,4,1,7,7,2,275
"1200",26,3930,5,28,3,1,1,1,2,7,7,2,101
"873",23,3783,5,33,3,2,4,5,1,2,2,2,7
"857",91,233,4,28,4,1,4,5,1,7,7,1,6
"601",25,3579,3,27,4,1,3,1,1,4,4,1,94
"1738",21,3623,3,28,3,2,4,5,2,7,7,1,143
"1263",26,3963,3,28,4,2,1,2,1,7,7,2,101
"1221",43,3941,3,25,3,3,1,1,2,1,7,1,28
"2191",245,3737,5,32,3,2,3,3,2,7,7,2,6
"1323",127,3899,3,31,3,1,1,2,7,7,7,2,31
"1022",55,3856,5,28,2,3,4,5,1,4,2,2,275
"102",49,47,5,28,3,2,2,2,3,2,4,1,9
"1693",193,4152,5,22,4,2,3,5,1,7,7,3,66
"1979",55,4272,4,28,1,2,4,1,2,2,4,2,275
"1277",15,3969,5,30,3,1,1,1,2,2,2,1,168
"2086",31,4313,2,30,3,2,1,3,1,2,7,2,154
"259",21,176,3,28,2,2,3,2,2,7,2,2,143
"839",50,3629,4,26,3,2,4,1,2,2,4,1,102
"745",43,3714,4,25,3,1,4,5,1,7,7,2,28
"125",41,98,3,27,3,1,3,2,2,4,4,1,6
"352",86,220,5,22,3,1,3,5,1,7,7,2,8
"2047",193,4296,5,22,4,1,1,2,2,7,7,2,66
"1559",31,193,3,30,2,2,3,1,1,7,2,1,154
"168",33,125,2,26,2,2,3,1,2,7,7,1,86
"88",33,73,3,26,3,2,3,2,1,7,7,2,86
"1287",26,8,5,28,4,2,1,1,2,7,7,2,101
"373",55,3507,5,28,2,1,3,1,1,4,7,2,275
"1053",48,3748,5,28,4,1,4,5,1,7,2,1,60
"1866",61,3983,4,28,2,2,4,4,1,7,2,1,83
"961",33,3826,5,26,4,2,4,1,1,7,7,1,86
"1848",202,4216,5,28,3,1,4,1,1,2,4,1,26
"805",25,3751,3,27,3,1,4,4,1,2,2,1,94
"2087",125,4033,5,23,4,2,1,5,1,1,1,2,65
"368",45,3032,5,25,3,2,3,5,3,4,4,1,4
"777",24,3733,3,26,3,2,4,5,1,4,4,1,25
"1678",193,4107,5,22,4,1,3,5,2,7,7,1,66
"569",50,3623,4,26,1,2,3,1,3,2,2,1,102
"1380",35,1983,5,30,3,1,2,1,1,2,2,2,95
"1966",127,38,3,31,2,1,4,1,1,7,7,2,31
"99",37,47,4,26,4,1,3,2,2,2,4,2,16
"1261",35,3962,4,30,3,2,1,2,1,2,2,2,95
"663",55,3674,5,28,1,3,4,5,1,2,1,2,275
"26",27,18,4,25,3,3,2,2,7,7,2,1,34
"1005",48,3849,3,28,1,2,4,1,1,7,7,2,60
"1657",200,47,5,20,3,2,3,2,1,7,4,2,4
"2203",59,4334,3,27,4,1,1,1,1,7,7,2,17
"1837",25,3990,4,27,1,2,3,1,1,2,2,1,94
"722",43,201,5,25,3,3,4,4,1,7,1,2,28
"1537",61,4097,4,28,4,2,3,5,2,7,2,1,83
"1676",26,4144,4,28,3,1,3,5,2,7,7,2,101
