"","userID","itemID","rating","age","time","daytype","season","weather","social","endEmo","dominantEmo","mood","Count"
"1311",35,3983,3,30,4,1,1,2,1,2,7,1,95
"1358",60,3691,4,28,4,2,2,1,2,2,2,1,26
"1758",202,4173,4,28,4,2,4,1,1,2,2,1,26
"2281",50,4376,3,26,3,1,2,1,1,6,4,1,102
"2026",253,3124,4,19,3,2,3,3,2,4,3,1,26
"1493",157,3743,3,27,3,2,3,1,2,2,7,1,34
"1269",15,3965,4,30,3,1,1,1,2,2,2,2,168
"891",31,3791,4,30,2,2,4,1,1,2,2,1,154
"1263",26,3963,3,28,4,2,1,2,1,7,7,2,101
"1063",127,3867,4,31,3,1,4,2,1,2,2,1,31
"257",31,175,5,30,2,2,3,2,1,2,2,1,154
"316",55,219,5,28,1,1,3,5,1,4,4,2,275
"121",42,95,4,28,3,1,3,2,2,1,4,1,36
"766",91,3726,5,28,4,2,4,5,1,1,7,2,6
"917",31,3545,4,30,3,2,4,5,1,2,4,1,154
"1223",61,3943,5,28,3,2,1,2,2,2,2,1,83
"711",54,3649,4,27,3,2,4,1,2,2,4,1,32
"1584",75,2668,5,63,1,2,3,5,1,3,3,1,64
"1467",21,4064,2,28,4,1,2,5,2,7,2,1,143
"1307",48,3642,5,28,4,1,1,5,1,7,3,3,60
"240",28,166,3,26,2,1,3,5,2,2,3,1,37
"601",25,3579,3,27,4,1,3,1,1,4,4,1,94
"1285",15,1905,3,30,2,1,1,2,2,2,2,1,168
"1225",33,3945,1,26,2,2,1,1,1,5,7,2,86
"1061",48,3585,4,28,3,1,4,2,1,7,7,1,60
"1022",55,3856,5,28,2,3,4,5,1,4,2,2,275
"1649",196,172,5,28,2,1,2,5,6,2,4,1,9
"162",25,99,1,27,3,2,3,5,2,6,6,3,94
"2223",75,4344,4,63,2,1,1,2,1,2,1,1,64
"1743",125,4151,5,23,3,1,4,5,1,2,2,1,65
"1882",61,3943,5,28,3,1,4,4,5,2,2,1,83
"635",26,3188,5,28,2,2,2,1,2,7,2,1,101
"324",21,226,5,28,4,1,3,5,1,2,5,1,143
"812",55,3695,4,28,1,1,4,5,1,7,4,2,275
"1027",125,2509,5,23,4,2,4,1,2,4,4,1,65
"1516",31,2619,3,30,3,1,3,1,1,2,7,1,154
"1159",157,3538,2,27,3,1,4,5,1,7,7,2,34
"174",24,129,4,26,3,1,3,2,1,7,7,2,25
"2294",125,177,5,23,4,3,2,1,2,2,2,1,65
"721",43,3703,5,25,3,3,4,4,1,2,2,2,28
"947",21,2234,3,28,3,1,4,5,1,7,5,1,143
"984",21,3834,5,28,2,2,4,1,1,1,1,1,143
"1341",59,4000,4,27,4,2,1,5,1,1,1,2,17
"1099",55,3750,2,28,2,2,1,1,1,7,5,2,275
"235",26,77,4,28,4,1,2,2,2,2,2,2,101
"1807",33,4196,3,26,3,1,4,1,2,7,7,3,86
"2143",193,3556,2,22,3,2,3,3,2,4,4,2,66
"1295",167,2677,4,35,3,1,1,1,3,3,2,2,7
"1620",193,47,3,22,3,2,3,3,2,7,7,2,66
"434",96,3540,4,15,3,2,2,5,3,2,7,2,30
"1633",193,246,5,22,3,1,3,1,1,7,7,2,66
"644",26,3663,2,28,3,1,3,2,2,6,6,2,101
"1292",167,218,5,35,3,1,1,1,2,2,2,1,7
"201",25,145,4,27,3,2,3,1,2,2,2,1,94
"2204",50,3998,3,26,2,2,1,5,1,5,7,2,102
"74",42,62,3,28,3,3,2,1,2,7,7,1,36
"68",42,58,3,28,3,3,2,1,2,2,7,1,36
"661",55,47,5,28,4,3,4,5,2,2,4,2,275
"584",35,3630,4,30,3,1,4,2,1,2,4,1,95
"1113",55,3894,4,28,2,1,1,1,2,2,5,2,275
"178",50,131,5,26,3,1,3,5,7,1,2,1,102
"1878",55,3998,3,28,2,2,4,1,1,4,4,2,275
"405",96,3523,3,15,3,2,3,2,3,7,7,1,30
"890",48,3790,5,28,4,2,4,1,3,2,4,2,60
"443",100,3544,2,28,3,2,3,3,2,7,7,2,6
"83",27,38,4,25,1,2,3,2,1,4,2,1,34
"466",28,3524,3,26,3,1,2,1,2,7,4,1,37
"1207",48,3935,3,28,3,1,1,1,1,7,7,1,60
"2066",127,4304,5,31,3,3,1,5,7,2,2,2,31
"617",50,190,3,26,3,2,3,5,2,2,2,1,102
"1121",28,3886,4,26,3,1,1,1,2,2,2,1,37
"2283",33,2240,4,26,4,3,2,1,2,4,7,1,86
"637",26,3518,4,28,4,1,3,5,1,7,7,2,101
"1340",31,3722,4,30,2,2,1,5,1,2,4,1,154
"670",25,3678,3,27,3,1,4,4,2,2,2,1,94
"1067",55,3870,5,28,2,1,4,5,2,1,6,2,275
"476",28,3566,4,26,3,1,3,5,5,6,5,1,37
"461",89,3554,4,28,3,2,3,1,2,1,2,1,16
"695",55,3692,4,28,2,3,4,5,2,4,4,2,275
"1686",33,4148,3,26,4,1,4,1,2,4,4,1,86
"1434",31,4051,4,30,2,2,2,1,1,4,1,1,154
"1796",15,4071,5,30,3,1,4,1,2,2,2,1,168
"712",54,3695,3,27,4,2,4,1,2,2,7,1,32
"1376",15,2646,4,30,2,1,2,1,2,2,2,2,168
"1388",50,4022,4,26,2,2,2,2,1,2,1,2,102
"2019",253,3728,5,19,3,2,3,3,2,7,7,1,26
"193",42,141,5,28,4,2,3,5,2,2,4,2,36
"1565",15,3869,2,30,3,2,2,1,1,7,7,2,168
"1821",26,4200,5,28,3,1,4,5,1,7,7,2,101
"531",15,167,5,30,3,1,3,1,2,4,4,2,168
"1581",188,3753,5,20,3,1,3,5,1,4,7,2,6
"18",31,3,3,30,2,1,2,2,1,7,7,3,154
"1146",25,3630,1,27,2,2,4,1,2,2,2,1,94
"1241",157,3320,4,27,4,2,1,5,1,3,6,2,34
"2125",127,4319,4,31,3,3,1,1,5,2,7,2,31
"1016",48,83,4,28,2,2,4,1,1,7,7,2,60
"1651",196,212,5,28,3,2,3,5,6,2,2,1,9
"749",37,3718,5,26,4,1,4,5,1,2,2,1,16
"1985",31,4275,4,30,3,2,4,1,1,2,2,1,154
"222",54,159,4,27,3,1,3,1,2,7,4,1,32
"2101",31,4314,5,30,3,1,1,1,1,2,2,2,154
"926",54,3806,4,27,4,2,4,5,2,7,7,3,32
"1386",35,4020,5,30,4,2,2,2,1,2,2,1,95
"930",25,3727,5,27,1,2,4,5,1,1,1,3,94
"1872",55,3980,2,28,2,2,4,5,1,7,7,2,275
"306",31,211,4,30,4,2,3,5,1,2,2,1,154
"1550",26,2725,5,28,3,2,3,2,1,4,4,2,101
"1971",21,3899,4,28,3,1,4,5,1,2,4,1,143
"662",55,3673,3,28,1,3,4,5,1,7,7,2,275
"2030",253,3847,4,19,3,2,3,3,2,2,2,1,26
"1598",190,149,4,28,3,2,3,3,2,7,7,2,13
"1811",241,3032,2,20,3,1,4,1,2,7,7,2,20
"1908",193,4241,5,22,3,1,4,1,1,7,7,2,66
"1738",21,3623,3,28,3,2,4,5,2,7,7,1,143
"1198",55,3743,2,28,2,2,1,1,1,7,7,2,275
"716",61,3698,4,28,4,2,4,5,5,1,7,1,83
"1291",167,3976,4,35,3,1,1,3,2,2,2,1,7
"1165",55,3920,5,28,2,1,1,5,2,4,4,2,275
"351",35,243,2,30,4,3,3,5,1,6,5,2,95
"875",55,3784,4,28,3,1,4,5,2,4,4,2,275
"1060",48,47,4,28,4,1,4,5,1,7,7,1,60
"1563",15,2205,1,30,2,2,3,5,1,6,6,1,168
"652",35,3670,4,30,3,1,4,5,1,2,4,2,95
"1125",55,3899,3,28,2,1,1,1,1,4,7,2,275
"522",21,3597,2,28,4,1,3,5,1,7,3,2,143
"1094",48,3881,4,28,4,1,1,1,1,7,7,2,60
"2112",31,4307,4,30,2,2,1,2,1,2,7,1,154
"2106",257,3954,5,18,3,3,2,1,6,3,4,1,6
"1510",125,3950,3,23,4,2,3,5,2,7,7,1,65
"1663",24,4139,4,26,4,2,3,5,1,7,7,1,25
"1143",31,3908,3,30,4,2,1,1,1,2,2,1,154
"1789",193,4191,5,22,4,1,4,1,1,7,7,2,66
"2035",253,218,5,19,2,2,3,3,2,2,4,1,26
"509",31,34,5,30,2,2,3,1,1,2,2,1,154
"1817",50,3772,4,26,4,1,4,5,2,4,1,2,102
"1479",60,4071,3,28,4,1,3,1,3,7,7,2,26
"1534",31,4096,1,30,4,2,3,2,1,7,7,1,154
"1524",55,4092,4,28,4,2,3,2,2,4,7,2,275
"1175",157,3725,5,27,3,1,1,1,1,2,2,2,34
"518",89,3595,1,28,3,2,3,5,3,2,6,1,16
"1851",202,3750,5,28,3,3,4,1,1,2,4,2,26
"1274",31,3642,5,30,3,2,1,2,1,2,5,1,154
"485",37,3572,4,26,3,2,3,2,3,2,2,2,16
"777",24,3733,3,26,3,2,4,5,1,4,4,1,25
"1443",21,3937,4,28,2,2,2,1,1,2,5,1,143
"1762",54,2490,5,27,2,2,4,1,2,2,2,1,32
"302",27,210,3,25,3,2,3,5,2,7,4,2,34
"2144",193,172,2,22,3,2,3,3,2,4,4,2,66
"1036",143,47,4,24,3,1,3,3,2,7,7,2,10
"2001",50,4278,4,26,2,2,4,5,2,2,2,1,102
"2212",75,4286,5,63,2,2,1,1,1,2,2,1,64
"1859",25,4070,3,27,2,1,4,4,1,3,2,3,94
"43",27,33,3,25,2,2,2,2,2,7,7,2,34
"2055",33,4299,1,26,3,3,1,5,2,7,7,1,86
"1751",33,4177,4,26,3,3,4,1,3,4,3,1,86
"1177",127,3714,3,31,3,2,1,1,1,7,7,2,31
"1392",15,4026,3,30,3,2,2,1,2,7,7,1,168
"2293",61,177,5,28,4,3,2,1,2,2,2,1,83
"1735",31,4172,3,30,3,3,4,5,1,6,6,2,154
"819",127,3726,5,31,4,1,4,2,1,4,4,3,31
"1995",15,4282,5,30,2,2,4,1,2,4,4,2,168
"1032",141,2489,4,23,3,1,1,2,1,7,7,2,6
"433",96,3507,4,15,3,1,4,1,7,7,7,1,30
"790",55,3741,4,28,2,1,4,2,2,4,7,2,275
"1761",61,115,4,28,3,2,4,5,2,7,7,1,83
"920",31,38,4,30,2,2,4,2,1,2,2,1,154
"2100",15,3313,5,30,3,2,3,3,2,4,4,2,168
"147",55,115,4,28,4,2,3,5,2,6,6,2,275
"428",43,3535,4,25,2,1,3,5,1,4,7,1,28
"406",96,2628,5,15,3,1,3,2,7,2,2,1,30
"2",21,5,3,28,2,2,2,1,2,2,2,2,143
"2236",15,4351,5,30,2,2,2,1,2,2,2,2,168
"1053",48,3748,5,28,4,1,4,5,1,7,2,1,60
"341",39,66,4,30,3,2,3,1,6,2,2,1,5
"1734",190,4171,5,28,2,3,4,3,3,2,2,1,13
"333",79,99,4,29,3,1,3,1,2,7,3,2,6
"1380",35,1983,5,30,3,1,2,1,1,2,2,2,95
"350",59,47,4,27,4,3,3,1,1,7,7,3,17
"1006",25,3710,3,27,1,2,4,1,1,1,1,2,94
"52",21,45,5,28,4,1,2,1,1,1,2,2,143
"708",25,17,3,27,2,3,4,5,1,2,2,1,94
"251",43,171,5,25,4,1,3,5,1,7,2,1,28
"268",42,78,5,28,3,1,3,5,2,1,2,2,36
"1257",50,3961,3,26,4,2,1,2,1,7,7,2,102
"2210",75,4162,4,63,3,1,1,1,1,7,7,1,64
"1855",202,4219,4,28,2,3,4,5,1,2,7,3,26
"2284",21,2240,4,28,4,3,2,1,2,1,5,1,143
"2221",75,2836,5,63,2,2,1,1,1,2,4,1,64
"1900",50,4238,4,26,2,2,4,4,1,7,7,3,102
"2077",31,4308,4,30,2,2,1,5,1,2,2,1,154
"2271",33,4371,1,26,4,3,2,1,6,1,1,1,86
"1773",61,4185,5,28,3,1,4,1,2,2,2,1,83
"1464",21,84,3,28,4,2,2,1,2,7,1,1,143
"411",96,3526,5,15,2,3,1,1,3,2,2,1,30
"159",21,125,4,28,2,2,3,1,2,2,2,1,143
"1714",21,3522,4,28,3,1,3,5,2,2,2,2,143
"1348",31,3550,5,30,2,3,2,1,1,1,4,1,154
"608",61,66,3,28,3,2,3,5,1,7,7,2,83
"1182",28,3925,4,26,3,1,1,2,3,2,3,1,37
"1997",31,3692,4,30,4,2,4,1,1,2,4,1,154
"1869",59,4224,2,27,4,2,4,4,1,6,7,3,17
